player,team,competition_name,season_name,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution
Danielle Turner,Everton LFC,FA Women's Super League,2018/2019,0.0,0.0,382.0,37.0,28.0,288.0,40.0,11.0,12.0,11.0,45.0,0.0,5.0,9.0,0.0,2.0,11.0,9.0,0.0,0.0,0.0,506.0,1.0,1.0,164.0,3.0,8.0,3.0
Danielle Turner,Everton LFC,FA Women's Super League,2019/2020,0.0,0.0,449.0,49.0,31.0,387.0,82.0,10.0,20.0,17.0,56.0,2.0,19.0,18.0,0.0,0.0,28.0,14.0,0.0,0.0,0.0,809.0,0.0,0.0,191.0,3.0,5.0,0.0
Danielle Turner,Everton LFC,FA Women's Super League,2020/2021,0.0,0.0,481.0,47.0,35.0,414.0,53.0,12.0,5.0,20.0,42.0,0.0,15.0,10.0,0.0,1.0,15.0,9.0,0.0,0.0,0.0,745.0,0.0,0.0,179.0,1.0,11.0,4.0
Danielle van de Donk,Arsenal WFC,FA Women's Super League,2018/2019,2.0,1.0,929.0,117.0,49.0,844.0,4.0,50.0,40.0,40.0,56.0,0.0,28.0,34.0,0.0,3.0,16.0,40.0,0.0,0.0,0.0,840.0,2.0,2.0,360.0,0.0,38.0,4.0
Danielle van de Donk,Arsenal WFC,FA Women's Super League,2019/2020,2.0,0.0,800.0,67.0,26.0,634.0,4.0,42.0,26.0,30.0,40.0,0.0,7.0,22.0,0.0,1.0,17.0,31.0,0.0,0.0,0.0,651.0,0.0,0.0,338.0,0.0,21.0,1.0
Danielle van de Donk,Arsenal WFC,FA Women's Super League,2020/2021,0.0,0.0,694.0,82.0,36.0,536.0,12.0,17.0,16.0,17.0,51.0,1.0,9.0,15.0,0.0,8.0,8.0,32.0,0.0,0.0,0.0,634.0,0.0,0.0,259.0,1.0,16.0,8.0
Danielle van de Donk,Netherlands Women's,UEFA Women's Euro,2022,1.0,0.0,153.0,22.0,8.0,118.0,5.0,12.0,7.0,12.0,16.0,0.0,4.0,1.0,0.0,1.0,5.0,9.0,0.0,0.0,0.0,143.0,1.0,1.0,92.0,0.0,4.0,3.0
Danielle van de Donk,Netherlands Women's,UEFA Women's Euro,2025,1.0,0.0,67.0,11.0,3.0,64.0,1.0,5.0,1.0,0.0,6.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,66.0,0.0,0.0,41.0,0.0,2.0,2.0
Danielle van de Donk,Netherlands Women's,Women's World Cup,2019,0.0,0.0,371.0,47.0,18.0,316.0,8.0,21.0,9.0,15.0,27.0,0.0,12.0,21.0,0.0,4.0,5.0,21.0,0.0,0.0,0.0,309.0,2.0,2.0,178.0,1.0,8.0,3.0
Danielle van de Donk,Netherlands Women's,Women's World Cup,2023,2.0,0.0,185.0,27.0,18.0,161.0,5.0,8.0,6.0,8.0,23.0,0.0,7.0,15.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,169.0,2.0,2.0,103.0,1.0,5.0,3.0
Danique Kerkdijk,Brighton & Hove Albion WFC,FA Women's Super League,2019/2020,0.0,0.0,302.0,39.0,35.0,296.0,57.0,1.0,3.0,12.0,30.0,0.0,8.0,6.0,0.0,9.0,25.0,4.0,0.0,0.0,0.0,428.0,2.0,2.0,164.0,2.0,3.0,1.0
Danique Kerkdijk,Brighton & Hove Albion WFC,FA Women's Super League,2020/2021,0.0,0.0,427.0,43.0,30.0,399.0,93.0,2.0,3.0,10.0,39.0,1.0,17.0,5.0,0.0,6.0,19.0,1.0,0.0,0.0,0.0,596.0,1.0,1.0,161.0,3.0,0.0,1.0
Danique Kerkdijk,Bristol City WFC,FA Women's Super League,2018/2019,0.0,0.0,281.0,78.0,34.0,342.0,118.0,2.0,1.0,11.0,38.0,3.0,15.0,3.0,0.0,4.0,20.0,2.0,0.0,0.0,0.0,476.0,4.0,4.0,176.0,1.0,6.0,1.0
Daphne van Domselaar,Netherlands Women's,UEFA Women's Euro,2022,0.0,0.0,58.0,18.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,6.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
Daphne van Domselaar,Netherlands Women's,UEFA Women's Euro,2025,0.0,0.0,91.0,10.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
Daphne van Domselaar,Netherlands Women's,Women's World Cup,2023,0.0,0.0,50.0,16.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
Darian Jenkins,North Carolina Courage,NWSL,2018,0.0,0.0,80.0,11.0,3.0,56.0,0.0,9.0,10.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,39.0,0.0,0.0,31.0,0.0,3.0,0.0
Davina Philtjens,Belgium Women's,UEFA Women's Euro,2022,0.0,0.0,89.0,15.0,15.0,73.0,18.0,3.0,2.0,6.0,12.0,0.0,3.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,133.0,0.0,0.0,48.0,0.0,1.0,1.0
Davina Philtjens,Belgium Women's,UEFA Women's Euro,2025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dayana Pierre-Louis,Haiti Women's,Women's World Cup,2023,1.0,1.0,40.0,21.0,4.0,55.0,3.0,2.0,4.0,3.0,10.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,67.0,0.0,0.0,44.0,0.0,0.0,2.0
